Date,TV,Radio,Newspaper,Sales
May-17,224,2.4,15.6,11.6
May-17,123.1,34.6,12.4,15.2
May-17,229.5,32.3,74.2,19.7
May-17,87.2,11.8,25.9,10.6
Jun-17,7.8,38.9,50.6,6.6
Jun-17,80.2,0,9.2,8.8
Jun-17,220.3,49,3.2,24.7
Jun-17,59.6,12,43.1,9.7
Jun-17,0.7,39.6,8.7,1.6
Jul-17,265.2,2.9,43,12.7
Jul-17,8.4,27.2,2.1,5.7
Jul-17,219.8,33.5,45.1,19.6
Jul-17,36.9,38.6,65.6,10.8
Aug-17,48.3,47,8.5,11.6
Aug-17,25.6,39,9.3,9.5
Aug-17,273.7,28.9,59.7,20.8
Aug-17,43,25.9,20.5,9.6
Aug-17,184.9,43.9,1.7,20.7
Sep-17,73.4,17,12.9,10.9
Sep-17,193.7,35.4,75.6,19.2
Sep-17,220.5,33.2,37.9,20.1
Sep-17,104.6,5.7,34.4,10.4
Oct-17,96.2,14.8,38.9,11.4
Oct-17,140.3,1.9,9,10.3
Oct-17,240.1,7.3,8.7,13.2
Oct-17,243.2,49,44.3,25.4
Nov-17,38,40.3,11.9,10.9
Nov-17,44.7,25.8,20.6,10.1
Nov-17,280.7,13.9,37,16.1
Nov-17,121,8.4,48.7,11.6
Nov-17,197.6,23.3,14.2,16.6
Dec-17,171.3,39.7,37.7,19
Dec-17,187.8,21.1,9.5,15.6
Dec-17,4.1,11.6,5.7,3.2
Dec-17,93.9,43.5,50.5,15.3
Jan-18,149.8,1.3,24.3,10.1
Jan-18,11.7,36.9,45.2,7.3
Jan-18,131.7,18.4,34.6,12.9
Jan-18,172.5,18.1,30.7,14.4
Feb-18,85.7,35.8,49.3,13.3
Feb-18,188.4,18.1,25.6,14.9
Feb-18,163.5,36.8,7.4,18
Feb-18,117.2,14.7,5.4,11.9
Mar-18,234.5,3.4,84.8,11.9
Mar-18,17.9,37.6,21.6,8
Mar-18,206.8,5.2,19.4,12.2
Mar-18,215.4,23.6,57.6,17.1
Mar-18,284.3,10.6,6.4,15
Apr-18,50,11.6,18.4,8.4
Apr-18,164.5,20.9,47.4,14.5
Apr-18,19.6,20.1,17,7.6
Apr-18,168.4,7.1,12.8,11.7
May-18,222.4,3.4,13.1,11.5
May-18,276.9,48.9,41.8,27
May-18,248.4,30.2,20.3,20.2
May-18,170.2,7.8,35.2,11.7
May-18,276.7,2.3,23.7,11.8
Jun-18,165.6,10,17.6,12.6
Jun-18,156.6,2.6,8.3,10.5
Jun-18,218.5,5.4,27.4,12.2
Jun-18,56.2,5.7,29.7,8.7
Jul-18,287.6,43,71.8,26.2
Jul-18,253.8,21.3,30,17.6
Jul-18,205,45.1,19.6,22.6
Jul-18,139.5,2.1,26.6,10.3
Aug-18,191.1,28.7,18.2,17.3
Aug-18,286,13.9,3.7,15.9
Aug-18,18.7,12.1,23.4,6.7
Aug-18,39.5,41.1,5.8,10.8
Aug-18,75.5,10.8,6,9.9
Sep-18,17.2,4.1,31.6,5.9
Sep-18,166.8,42,3.6,19.6
Sep-18,149.7,35.6,6,17.3
Sep-18,38.2,3.7,13.8,7.6
Oct-18,94.2,4.9,8.1,9.7
Oct-18,177,9.3,6.4,12.8
Oct-18,283.6,42,66.2,25.5
Oct-18,232.1,8.6,8.7,13.4
